# Pebble SDK 4.9.169 app API jump table, generated from aplite/lib/libpebble.a
# Format: name=swi,num,args,typecodes argnames
# swi=2 records the PebbleOS SVC privilege mechanism; num is the libpebble jump-table byte offset.
_=2
accel_data_service_subscribe__deprecated=2,0,2,ip samples_per_update handler
accel_data_service_unsubscribe=2,4,0,
accel_service_peek=2,8,1,p data
accel_service_set_samples_per_update=2,12,1,i num_samples
accel_service_set_sampling_rate=2,16,1,i rate
accel_tap_service_subscribe=2,20,1,p handler
accel_tap_service_unsubscribe=2,24,0,
action_bar_layer_legacy2_add_to_window=2,28,2,pp action_bar window
action_bar_layer_legacy2_clear_icon=2,32,2,pi action_bar button_id
action_bar_layer_legacy2_create=2,36,0,
action_bar_layer_legacy2_destroy=2,40,1,p action_bar_layer
action_bar_layer_legacy2_get_layer=2,44,1,p action_bar_layer
action_bar_layer_legacy2_remove_from_window=2,48,1,p action_bar
action_bar_layer_legacy2_set_background_color_2bit=2,52,2,pi action_bar background_color
action_bar_layer_legacy2_set_click_config_provider=2,56,2,pp action_bar click_config_provider
action_bar_layer_legacy2_set_context=2,60,2,pp action_bar context
action_bar_layer_legacy2_set_icon=2,64,3,pip action_bar button_id icon
animation_legacy2_create=2,68,0,
animation_legacy2_destroy=2,72,1,p animation
animation_legacy2_get_context=2,76,1,p animation
animation_legacy2_is_scheduled=2,80,1,p animation
animation_legacy2_schedule=2,84,1,p animation
animation_legacy2_set_curve=2,88,2,pi animation curve
animation_legacy2_set_delay=2,92,2,pi animation delay_ms
animation_legacy2_set_duration=2,96,2,pi animation duration_ms
animation_legacy2_set_handlers=2,100,3,pip animation callbacks context
animation_legacy2_set_implementation=2,104,2,pp animation implementation
animation_legacy2_unschedule=2,108,1,p animation
animation_legacy2_unschedule_all=2,112,0,
app_comm_get_sniff_interval=2,116,0,
app_comm_set_sniff_interval=2,120,1,i interval
app_event_loop=2,124,0,
app_log=2,136,5,ipipx log_level src_filename src_line_number fmt varargs
app_message_deregister_callbacks=2,140,0,
app_message_open=2,144,2,ii size_inbound size_outbound
app_sync_deinit=2,172,1,p s
app_sync_get=2,176,2,pi s key
app_sync_init=2,180,8,ppipippp s buffer buffer_size keys_and_initial_values count tuple_changed_callback error_callback context
app_sync_set=2,184,3,ppi s keys_and_values_to_update count
app_timer_cancel=2,188,1,p timer_handle
app_timer_register=2,192,3,ipp timeout_ms callback callback_data
app_timer_reschedule=2,196,2,pi timer_handle new_timeout_ms
atan2_lookup=2,200,2,ii y x
atoi=2,204,1,p arg0
atol=2,208,1,p arg0
battery_state_service_peek=2,212,0,
battery_state_service_subscribe=2,216,1,p handler
battery_state_service_unsubscribe=2,220,0,
bitmap_layer_create=2,224,1,i frame
bitmap_layer_destroy=2,228,1,p bitmap_layer
bitmap_layer_get_layer=2,232,1,p bitmap_layer
bitmap_layer_set_alignment=2,236,2,pi bitmap_layer alignment
bitmap_layer_set_background_color_2bit=2,240,2,pi bitmap_layer color
bitmap_layer_set_bitmap=2,244,2,pp bitmap_layer bitmap
bitmap_layer_set_compositing_mode=2,248,2,pi bitmap_layer mode
bluetooth_connection_service_peek=2,252,0,
bluetooth_connection_service_subscribe=2,256,1,p handler
bluetooth_connection_service_unsubscribe=2,260,0,
click_number_of_clicks_counted=2,264,1,i recognizer
click_recognizer_get_button_id=2,268,1,i recognizer
clock_copy_time_string=2,272,2,pi buffer size
clock_is_24h_style=2,276,0,
cos_lookup=2,280,1,i angle
data_logging_create=2,284,4,iiii tag item_type item_length resume
data_logging_finish=2,288,1,i logging_session
data_logging_log=2,292,3,ipi logging_session data num_items
dict_calc_buffer_size=2,296,2,ix tuple_count varargs
dict_calc_buffer_size_from_tuplets=2,300,2,pi tuplets tuplets_count
dict_find=2,304,2,pi iter key
dict_merge=2,308,6,pppipp dest dest_max_size_in_out source update_existing_keys_only key_callback context
dict_read_begin_from_buffer=2,312,3,ppi iter buffer size
dict_read_first=2,316,1,p iter
dict_read_next=2,320,1,p iter
dict_serialize_tuplets=2,324,4,pppi callback context tuplets tuplets_count
dict_serialize_tuplets_to_buffer__deprecated=2,328,4,pipp tuplets tuplets_count buffer size_in_out
dict_serialize_tuplets_to_buffer_with_iter=2,332,5,ppipp iter tuplets tuplets_count buffer size_in_out
dict_write_begin=2,336,3,ppi iter buffer size
dict_write_cstring=2,340,3,pip iter key cstring
dict_write_data=2,344,4,pipi iter key data size
dict_write_end=2,348,1,p iter
dict_write_int=2,352,5,pipii iter key integer width_bytes is_signed
dict_write_int16=2,356,3,pii iter key value
dict_write_int32=2,360,3,pii iter key value
dict_write_int8=2,364,3,pii iter key value
dict_write_tuplet=2,368,2,pp iter tuplet
dict_write_uint16=2,372,3,pii iter key value
dict_write_uint32=2,376,3,pii iter key value
dict_write_uint8=2,380,3,pii iter key value
fonts_get_system_font=2,384,1,p font_key
fonts_load_custom_font=2,388,1,i handle
fonts_unload_custom_font=2,392,1,i font
free=2,396,1,p arg0
gbitmap_create_as_sub_bitmap=2,400,2,pi base_bitmap sub_rect
gbitmap_create_with_data=2,404,1,p data
gbitmap_create_with_resource=2,408,1,i resource_id
gbitmap_destroy=2,412,1,p bitmap
gmtime=2,416,1,p timep
gpath_create=2,420,1,p init
gpath_destroy=2,424,1,p gpath
gpath_draw_filled_legacy=2,428,2,pp ctx path
gpath_draw_outline=2,432,2,pp ctx path
gpath_move_to=2,436,2,pi path point
gpath_rotate_to=2,440,2,pi path angle
gpoint_equal=2,444,2,pp point_a point_b
graphics_context_set_compositing_mode=2,448,2,pi ctx mode
graphics_context_set_fill_color_2bit=2,452,2,pi ctx color
graphics_context_set_stroke_color_2bit=2,456,2,pi ctx color
graphics_context_set_text_color_2bit=2,460,2,pi ctx color
graphics_draw_bitmap_in_rect=2,464,3,ppi ctx bitmap rect
graphics_draw_circle=2,468,3,pii ctx p radius
graphics_draw_line=2,472,3,pii ctx p0 p1
graphics_draw_pixel=2,476,2,pi ctx point
graphics_draw_rect=2,480,2,pi ctx rect
graphics_draw_round_rect=2,484,3,pii ctx rect radius
graphics_fill_circle=2,488,3,pii ctx p radius
graphics_fill_rect=2,492,4,piii ctx rect corner_radius corner_mask
graphics_text_layout_get_max_used_size=2,500,7,pppiiip ctx text font box overflow_mode alignment layout
grect_align=2,504,4,ppii rect inside_rect alignment clip
grect_center_point=2,508,1,p rect
grect_clip=2,512,2,pp rect_to_clip rect_clipper
grect_contains_point=2,516,2,pp rect point
grect_crop=2,520,2,ii rect crop_size_px
grect_equal=2,524,2,pp rect_a rect_b
grect_is_empty=2,528,1,p rect
grect_standardize=2,532,1,p rect
gsize_equal=2,536,2,pp size_a size_b
inverter_layer_create=2,540,1,i frame
inverter_layer_destroy=2,544,1,p inverter_layer
inverter_layer_get_layer=2,548,1,p inverter_layer
layer_add_child=2,552,2,pp parent child
layer_create=2,556,1,i frame
layer_create_with_data=2,560,2,ii frame data_size
layer_destroy=2,564,1,p layer
layer_get_bounds=2,568,1,p layer
layer_get_clips=2,572,1,p layer
layer_get_data=2,576,1,p layer
layer_get_frame=2,580,1,p layer
layer_get_hidden=2,584,1,p layer
layer_get_window=2,588,1,p layer
layer_insert_above_sibling=2,592,2,pp layer_to_insert above_sibling_layer
layer_insert_below_sibling=2,596,2,pp layer_to_insert below_sibling_layer
layer_mark_dirty=2,600,1,p layer
layer_remove_child_layers=2,604,1,p parent
layer_remove_from_parent=2,608,1,p child
layer_set_bounds=2,612,2,pi layer bounds
layer_set_clips=2,616,2,pi layer clips
layer_set_frame=2,620,2,pi layer frame
layer_set_hidden=2,624,2,pi layer hidden
layer_set_update_proc=2,628,2,pp layer update_proc
light_enable=2,632,1,i enable
light_enable_interaction=2,636,0,
localtime__deprecated=2,640,1,p timep
malloc=2,644,1,i arg0
memcpy=2,648,3,ppi arg0 arg1 arg2
memmove=2,652,3,ppi arg0 arg1 arg2
memset=2,656,3,pii arg0 arg1 arg2
menu_cell_basic_draw=2,660,5,ppppp ctx cell_layer title subtitle icon
menu_cell_basic_header_draw=2,664,3,ppp ctx cell_layer title
menu_cell_title_draw=2,668,3,ppp ctx cell_layer title
menu_index_compare=2,672,2,pp a b
menu_layer_legacy2_create=2,676,1,i frame
menu_layer_destroy=2,680,1,p menu_layer
menu_layer_get_layer=2,684,1,p menu_layer
menu_layer_get_scroll_layer=2,688,1,p menu_layer
menu_layer_get_selected_index=2,692,1,p menu_layer
menu_layer_reload_data=2,696,1,p menu_layer
menu_layer_legacy2_set_callbacks__deprecated=2,700,3,ppi menu_layer callback_context callbacks
menu_layer_set_click_config_onto_window=2,704,2,pp menu_layer window
menu_layer_set_selected_index=2,708,4,piii menu_layer index scroll_align animated
menu_layer_set_selected_next=2,712,4,piii menu_layer up scroll_align animated
number_window_create=2,716,3,pip label callbacks callback_context
number_window_destroy=2,720,1,p number_window
number_window_get_value=2,724,1,p numberwindow
number_window_set_label=2,728,2,pp numberwindow label
number_window_set_max=2,732,2,pi numberwindow max
number_window_set_min=2,736,2,pi numberwindow min
number_window_set_step_size=2,740,2,pi numberwindow step
number_window_set_value=2,744,2,pi numberwindow value
persist_delete=2,748,1,i key
persist_exists=2,752,1,i key
persist_get_size=2,756,1,i key
persist_read_bool=2,760,1,i key
persist_read_data__deprecated=2,764,3,ipi key buffer buffer_size
persist_read_int=2,768,1,i key
persist_read_string__deprecated=2,772,3,ipi key buffer buffer_size
persist_write_bool=2,776,2,ii key value
persist_write_data__deprecated=2,780,3,ipi key data size
persist_write_int=2,784,2,ii key value
persist_write_string=2,788,2,ip key cstring
property_animation_legacy2_create=2,792,4,pppp implementation subject from_value to_value
property_animation_legacy2_create_layer_frame=2,796,3,ppp layer from_frame to_frame
property_animation_legacy2_destroy=2,800,1,p property_animation
property_animation_legacy2_update_gpoint=2,804,2,pi property_animation distance_normalized
property_animation_legacy2_update_grect=2,808,2,pi property_animation distance_normalized
property_animation_legacy2_update_int16=2,812,2,pi property_animation distance_normalized
psleep=2,816,1,i millis
rand=2,820,0,
resource_get_handle=2,824,1,i resource_id
resource_load=2,828,3,ipi h buffer max_length
resource_load_byte_range=2,832,4,iipi h start_offset buffer num_bytes
resource_size=2,836,1,i h
rot_bitmap_layer_create=2,840,1,p bitmap
rot_bitmap_layer_destroy=2,844,1,p bitmap
rot_bitmap_layer_increment_angle=2,848,2,pi bitmap angle_change
rot_bitmap_layer_set_angle=2,852,2,pi bitmap angle
rot_bitmap_layer_set_corner_clip_color_2bit=2,856,2,pi bitmap color
rot_bitmap_set_compositing_mode=2,860,2,pi bitmap mode
rot_bitmap_set_src_ic=2,864,2,pi bitmap ic
scroll_layer_add_child=2,868,2,pp scroll_layer child
scroll_layer_create=2,872,1,i frame
scroll_layer_destroy=2,876,1,p scroll_layer
scroll_layer_get_content_offset=2,880,1,p scroll_layer
